Pct_treino,Algoritmo,Acuracia
0.1,Nearest Neighbors,0.9538246268656716
0.1,RBF SVM,0.9580223880597015
0.1,Decision Tree,0.9132462686567164
0.1,Random Forest,0.9090485074626866
0.1,Naive Bayes,0.7845149253731343
0.1,Neural Net,0.9328358208955224
0.1,Nearest Neighbors,0.9645522388059702
0.1,RBF SVM,0.9654850746268657
0.1,Decision Tree,0.909981343283582
0.1,Random Forest,0.9039179104477612
0.1,Naive Bayes,0.7985074626865671
0.1,Neural Net,0.9202425373134329
0.1,Nearest Neighbors,0.9617537313432836
0.1,RBF SVM,0.9659514925373134
0.1,Decision Tree,0.9169776119402985
0.1,Random Forest,0.9174440298507462
0.1,Naive Bayes,0.8064365671641791
0.1,Neural Net,0.9468283582089553
0.1,Nearest Neighbors,0.9678171641791045
0.1,RBF SVM,0.9706156716417911
0.1,Decision Tree,0.9216417910447762
0.1,Random Forest,0.9305037313432836
0.1,Naive Bayes,0.8055037313432836
0.1,Neural Net,0.909981343283582
0.1,Nearest Neighbors,0.9626865671641791
0.1,RBF SVM,0.9673507462686567
0.1,Decision Tree,0.9169776119402985
0.1,Random Forest,0.9155783582089553
0.1,Naive Bayes,0.7938432835820896
0.1,Neural Net,0.9468283582089553
0.1,Nearest Neighbors,0.9640858208955224
0.1,RBF SVM,0.9640858208955224
0.1,Decision Tree,0.9169776119402985
0.1,Random Forest,0.9160447761194029
0.1,Naive Bayes,0.7868470149253731
0.1,Neural Net,0.9095149253731343
0.1,Nearest Neighbors,0.9584888059701493
0.1,RBF SVM,0.9631529850746269
0.1,Decision Tree,0.9090485074626866
0.1,Random Forest,0.8740671641791045
0.1,Naive Bayes,0.8027052238805971
0.1,Neural Net,0.9407649253731343
0.1,Nearest Neighbors,0.9561567164179104
0.1,RBF SVM,0.9542910447761194
0.1,Decision Tree,0.90625
0.1,Random Forest,0.9043843283582089
0.1,Naive Bayes,0.7602611940298507
0.1,Neural Net,0.9388992537313433
0.1,Nearest Neighbors,0.9589552238805971
0.1,RBF SVM,0.9598880597014925
0.1,Decision Tree,0.9071828358208955
0.1,Random Forest,0.909981343283582
0.1,Naive Bayes,0.7859141791044776
0.1,Neural Net,0.9015858208955224
0.1,Nearest Neighbors,0.9631529850746269
0.1,RBF SVM,0.9622201492537313
0.1,Decision Tree,0.9151119402985075
0.1,Random Forest,0.941231343283582
0.1,Naive Bayes,0.8064365671641791
0.1,Neural Net,0.9430970149253731
0.2,Nearest Neighbors,0.9661768136225799
0.2,RBF SVM,0.967109867039888
0.2,Decision Tree,0.9153254023792862
0.2,Random Forest,0.9484487986937252
0.2,Naive Bayes,0.8068579426172149
0.2,Neural Net,0.9209237228831351
0.2,Nearest Neighbors,0.9566130160951715
0.2,RBF SVM,0.9587123862841148
0.2,Decision Tree,0.9092605551667833
0.2,Random Forest,0.9258222533240028
0.2,Naive Bayes,0.794494984837882
0.2,Neural Net,0.9057616048518777
0.2,Nearest Neighbors,0.9619780732446933
0.2,RBF SVM,0.9636109167249826
0.2,Decision Tree,0.9120597154187077
0.2,Random Forest,0.9265220433869839
0.2,Naive Bayes,0.7891299276883602
0.2,Neural Net,0.9372521576860275
0.2,Nearest Neighbors,0.9589456496384418
0.2,RBF SVM,0.960578493118731
0.2,Decision Tree,0.9036622346629345
0.2,Random Forest,0.9484487986937252
0.2,Naive Bayes,0.794728248192209
0.2,Neural Net,0.9393515278749709
0.2,Nearest Neighbors,0.9542803825519011
0.2,RBF SVM,0.9577793328668066
0.2,Decision Tree,0.9036622346629345
0.2,Random Forest,0.9311873104735247
0.2,Naive Bayes,0.7926288780032656
0.2,Neural Net,0.9323536272451598
0.2,Nearest Neighbors,0.9580125962211337
0.2,RBF SVM,0.9652437602052718
0.2,Decision Tree,0.9132260321903429
0.2,Random Forest,0.8847679029624446
0.2,Naive Bayes,0.7891299276883602
0.2,Neural Net,0.9120597154187077
0.2,Nearest Neighbors,0.954047119197574
0.2,RBF SVM,0.9573128061581525
0.2,Decision Tree,0.9071611849778399
0.2,Random Forest,0.9127595054816888
0.2,Naive Bayes,0.7958945649638441
0.2,Neural Net,0.9379519477490086
0.2,Nearest Neighbors,0.9587123862841148
0.2,RBF SVM,0.9587123862841148
0.2,Decision Tree,0.9024959178912992
0.2,Random Forest,0.9255889899696758
0.2,Naive Bayes,0.7865640307907628
0.2,Neural Net,0.8992302309307207
0.2,Nearest Neighbors,0.9580125962211337
0.2,RBF SVM,0.95987870305575
0.2,Decision Tree,0.9104268719384184
0.2,Random Forest,0.9146256123163051
0.2,Naive Bayes,0.7865640307907628
0.2,Neural Net,0.9349195241427571
0.2,Nearest Neighbors,0.9561464893865174
0.2,RBF SVM,0.95987870305575
0.2,Decision Tree,0.9031957079542804
0.2,Random Forest,0.914159085607651
0.2,Naive Bayes,0.7923956146489387
0.2,Neural Net,0.9108933986470725
0.30000000000000004,Nearest Neighbors,0.9611257969211631
0.30000000000000004,RBF SVM,0.9634582491058933
0.30000000000000004,Decision Tree,0.9144767532265589
0.30000000000000004,Random Forest,0.9496190328098274
0.30000000000000004,Naive Bayes,0.7964546726792101
0.30000000000000004,Neural Net,0.9152542372881356
0.30000000000000004,Nearest Neighbors,0.9589488415487483
0.30000000000000004,RBF SVM,0.9622142746073705
0.30000000000000004,Decision Tree,0.9150987404758203
0.30000000000000004,Random Forest,0.8909967345669414
0.30000000000000004,Naive Bayes,0.7998756025501477
0.30000000000000004,Neural Net,0.9009485305551236
0.30000000000000004,Nearest Neighbors,0.9567718861763334
