Pct_treino,Algoritmo,Accuracy,F-score,Precision,Recall
0.1,Nearest Neighbors,0.9603544776119403,0.9603595141312449,0.9608585547160304,0.9603544776119403
0.1,RBF SVM,0.9612873134328358,0.9612288893827122,0.9630456167207307,0.9612873134328358
0.1,Decision Tree,0.9137126865671642,0.9151766923421624,0.9198931066621576,0.9137126865671642
0.1,Random Forest,0.9463619402985075,0.9460149181647942,0.9484951058152181,0.9463619402985075
0.1,Naive Bayes,0.7985074626865671,0.7886285355274119,0.8176602965625865,0.7985074626865671
0.1,Neural Net,0.9458955223880597,0.9459464457442979,0.9477824055265794,0.9458955223880597
0.1,Nearest Neighbors,0.9654850746268657,0.9655455733488411,0.9657244580722374,0.9654850746268657
0.1,RBF SVM,0.9664179104477612,0.9664234551397252,0.9674387622571529,0.9664179104477612
0.1,Decision Tree,0.9015858208955224,0.9036285788027716,0.9125342995462907,0.9015858208955224
0.1,Random Forest,0.9193097014925373,0.9184967522301489,0.9191852866348457,0.9193097014925373
0.1,Naive Bayes,0.8031716417910447,0.7940311231273209,0.8209189618267233,0.8031716417910447
0.1,Neural Net,0.9230410447761194,0.9235699635152625,0.9295422968780777,0.9230410447761194
0.1,Nearest Neighbors,0.9552238805970149,0.955117042245351,0.9563094727914917,0.9552238805970149
0.1,RBF SVM,0.9566231343283582,0.956470823642673,0.9590149850801662,0.9566231343283582
0.1,Decision Tree,0.9006529850746269,0.9001127003011746,0.9036386821923859,0.9006529850746269
0.1,Random Forest,0.9039179104477612,0.8994247603382075,0.9091417918100198,0.9039179104477612
0.1,Naive Bayes,0.7840485074626866,0.7687382252780074,0.8074464196059935,0.7840485074626866
0.1,Neural Net,0.9309701492537313,0.9309947253055539,0.933493544621908,0.9309701492537313
0.1,Nearest Neighbors,0.957089552238806,0.9570941960336666,0.9574003582152028,0.957089552238806
0.1,RBF SVM,0.9626865671641791,0.9626479589544082,0.9637405453247229,0.9626865671641791
0.1,Decision Tree,0.9132462686567164,0.9146891909899802,0.9194202781045796,0.9132462686567164
0.1,Random Forest,0.8857276119402985,0.875024689371934,0.8887299743220949,0.8857276119402985
0.1,Naive Bayes,0.7924440298507462,0.7815315439722442,0.8183702648152559,0.7924440298507462
0.1,Neural Net,0.9430970149253731,0.9431744957259381,0.9453014759128108,0.9430970149253731
0.1,Nearest Neighbors,0.9556902985074627,0.9557128946897007,0.956989119246495,0.9556902985074627
0.1,RBF SVM,0.9561567164179104,0.9559887835071675,0.9603194346747045,0.9561567164179104
0.1,Decision Tree,0.8969216417910447,0.8960565044980204,0.8997035452209512,0.8969216417910447
0.1,Random Forest,0.9188432835820896,0.9172590806667248,0.9222914915809051,0.9188432835820896
0.1,Naive Bayes,0.7975746268656716,0.7882877259411462,0.827780516963461,0.7975746268656716
0.1,Neural Net,0.9249067164179104,0.9251233888346542,0.9291302478538115,0.9249067164179104
0.1,Nearest Neighbors,0.9626865671641791,0.9627697592852791,0.9633678661961861,0.9626865671641791
0.1,RBF SVM,0.9673507462686567,0.96738528964401,0.9690191502017343,0.9673507462686567
0.1,Decision Tree,0.9085820895522388,0.9077503883527838,0.9110025234936009,0.9085820895522388
0.1,Random Forest,0.917910447761194,0.9138107350475463,0.9225667806264507,0.917910447761194
0.1,Naive Bayes,0.7994402985074627,0.7869687626252877,0.82507372310031,0.7994402985074627
0.1,Neural Net,0.9029850746268657,0.8978366686892727,0.9068725262331038,0.9029850746268657
0.1,Nearest Neighbors,0.9603544776119403,0.9603777377042264,0.9605202575157464,0.9603544776119403
0.1,RBF SVM,0.9659514925373134,0.96596520606512,0.9675756735169381,0.9659514925373134
0.1,Decision Tree,0.914179104477612,0.9138459574644612,0.9165890510628284,0.914179104477612
0.1,Random Forest,0.9291044776119403,0.9276272922612372,0.9321888767020259,0.9291044776119403
0.1,Naive Bayes,0.7924440298507462,0.7804771703552432,0.8176352731628149,0.7924440298507462
0.1,Neural Net,0.9225746268656716,0.9231864101438813,0.928112126922009,0.9225746268656716
0.1,Nearest Neighbors,0.9584888059701493,0.9584958110010422,0.9589252529096093,0.9584888059701493
0.1,RBF SVM,0.9594216417910447,0.9593344448545792,0.9612403988842174,0.9594216417910447
0.1,Decision Tree,0.9034514925373134,0.9025673804198542,0.9061509399951198,0.9034514925373134
0.1,Random Forest,0.9426305970149254,0.9409816968943671,0.947937173423804,0.9426305970149254
0.1,Naive Bayes,0.7877798507462687,0.7750036560898769,0.8137723434753567,0.7877798507462687
0.1,Neural Net,0.9160447761194029,0.9114881225882128,0.9255287826237346,0.9160447761194029
0.1,Nearest Neighbors,0.9617537313432836,0.9618528764500942,0.9623818092989322,0.9617537313432836
0.1,RBF SVM,0.9622201492537313,0.9623415381272626,0.9641917848767726,0.9622201492537313
0.1,Decision Tree,0.9165111940298507,0.9165092736644768,0.9191361979208865,0.9165111940298507
0.1,Random Forest,0.917910447761194,0.9157132183097376,0.9244879054547078,0.917910447761194
0.1,Naive Bayes,0.7919776119402985,0.781531058821897,0.8191117793648046,0.7919776119402985
0.1,Neural Net,0.9183768656716418,0.9149801054592155,0.9244206144770942,0.9183768656716418
0.1,Nearest Neighbors,0.9626865671641791,0.9627350977725602,0.9636897426391233,0.9626865671641791
0.1,RBF SVM,0.9612873134328358,0.9613526380105049,0.9631959600110988,0.9612873134328358
0.1,Decision Tree,0.9057835820895522,0.9055841379957964,0.9094877308774533,0.9057835820895522
0.1,Random Forest,0.9188432835820896,0.9153835016572188,0.922022906899762,0.9188432835820896
