frame_time_delta,ipv6_plen,ipv6_nxt,frame_len,mqtt_dupflag,mqtt_hdrflags,mqtt_kalive,mqtt_msgid,mqtt_msgtype,mqtt_retain,label,mqtt_len_flag,mqtt_len_null,ipv6_src_fd,ipv6_src_fe,ipv6_dst_fd,ipv6_dst_fe,ipv6_dst_ff
3450398000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1213685000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0266250000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1337068000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0001935000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0729543000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0727195000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0002497000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0575119000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0158652000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0079071000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1872006000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1577846000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1863253000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0337566000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0585417000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
5960331000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3146908000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0013980000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
4691258000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0854661000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2889716000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0110286000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3804677000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3957551000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0756594000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0537100000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
3158856000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0006955000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0138394000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1216440000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1785126000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0207476000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0755026000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0727490000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2456251000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0003013000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0019476000,64,6,118,1,1,00,0,1,1,0,1,0,10,00,10,00,00
1871986000,68,6,122,1,1,00,0,1,1,0,1,0,10,00,10,00,00
0469195000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
2626909000,66,6,120,1,1,00,0,1,1,0,1,0,10,00,10,00,00
